Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)						
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01						
Analyzed List:	upload_1 (Saccharomyces cerevisiae)						
Reference List:	Saccharomyces cerevisiae (all genes in database)						
Test Type:	FISHER						
Correction:	FDR						
GO biological process complete	Saccharomyces cerevisiae - REFLIST (6049)	upload_1 (28)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	11	5	0.07	76.38	+	2.26E-08	7.55E-06
positive regulation of transcription initiation from RNA polymerase II promoter	14	5	0.08	60.01	+	5.95E-08	1.51E-05
"positive regulation of DNA-templated transcription, initiation"	14	5	0.08	60.01	+	5.95E-08	1.44E-05
"regulation of DNA-templated transcription, initiation"	21	5	0.12	40.01	+	3.27E-07	6.23E-05
regulation of transcription initiation from RNA polymerase II promoter	21	5	0.12	40.01	+	3.27E-07	6.46E-05
positive regulation of protein complex assembly	53	5	0.32	15.85	+	1.99E-05	3.03E-03
regulation of protein complex assembly	103	5	0.61	8.16	+	3.90E-04	3.72E-02
positive regulation of cellular component biogenesis	77	5	0.46	10.91	+	1.07E-04	1.36E-02
positive regulation of cellular component organization	155	7	0.92	7.59	+	3.63E-05	5.38E-03
regulation of RNA polymerase II transcriptional preinitiation complex assembly	13	5	0.08	64.63	+	4.40E-08	1.24E-05
nonfunctional rRNA decay	23	3	0.14	21.92	+	4.50E-04	4.22E-02
cellular catabolic process	768	13	4.57	2.84	+	3.13E-04	3.10E-02
organic substance catabolic process	694	13	4.13	3.15	+	1.13E-04	1.41E-02
cellular macromolecule catabolic process	399	13	2.37	5.47	+	2.86E-07	5.88E-05
macromolecule catabolic process	431	13	2.57	5.07	+	6.82E-07	1.26E-04
negative regulation of catalytic activity	83	5	0.49	10.12	+	1.49E-04	1.77E-02
negative regulation of molecular function	96	7	0.57	12.25	+	1.81E-06	3.22E-04
regulation of molecular function	398	10	2.37	4.22	+	8.60E-05	1.12E-02
regulation of catalytic activity	375	9	2.23	4.03	+	2.95E-04	3.03E-02
proteasome-mediated ubiquitin-dependent protein catabolic process	145	8	0.86	9.27	+	2.21E-06	3.81E-04
proteasomal protein catabolic process	152	8	0.9	8.84	+	3.10E-06	5.18E-04
proteolysis involved in cellular protein catabolic process	252	13	1.5	8.67	+	1.43E-09	1.09E-06
proteolysis	406	14	2.42	5.79	+	4.19E-08	1.24E-05
cellular protein catabolic process	271	13	1.61	8.06	+	3.34E-09	1.98E-06
protein catabolic process	286	13	1.7	7.64	+	6.26E-09	2.78E-06
organonitrogen compound catabolic process	396	13	2.36	5.52	+	2.63E-07	5.62E-05
ubiquitin-dependent protein catabolic process	223	13	1.33	9.8	+	3.38E-10	4.51E-07
modification-dependent protein catabolic process	227	13	1.35	9.62	+	4.17E-10	4.45E-07
modification-dependent macromolecule catabolic process	249	13	1.48	8.77	+	1.24E-09	1.10E-06
